COD_AUTOR;HOMONIMO;FORMATO;NOME;RESUMOS
11196;;Silva-Boghossian CM;Carina Maciel Silva-Boghossian;AO040, AO044, PIc123, PId026, PIe115, PNd197, PNd224
14814;;Silva-Filho TJ;Tiago João da Silva Filho;PNb221, PNe186
6545;;Silva-Junior A;ARLEY SILVA JUNIOR;PNc187
22517;;Silva-Júnior AN;Aurelício Novaes Silva Júnior;PNe013
13375;;Silva-Junior AR;Aurélio Rosa da Silva Junior;PIc015, PIc128, PId017, PNa223, PNd209
25417;;Silva-Júnior CA;Charry Alves da Silva Júnior;PId080
18557;;Silva-Junior CL;Cesar Luiz Silva Junior;PE018
15168;;Silva-Junior GO;Geraldo de Oliveira Silva-Junior;PNc187
26944;;Silva-Junior GP;Geraldo Prisco da Silva Junior;PNf018
14439;;Silva-Junior MF;Manoelito Ferreira Silva Junior;PIf080, PNc268
26878;;Silva-Junior WM;Washington Martins da Silva Junior;PNe192
14075;;Silva-Junior ZS;Zenildo Santos silva junior;PNb011, PNc143
1410;;Silva-Lovato CH;Claudia Helena Silva-Lovato;PIa071, PIb096, PNa171, PNa186, PNa209, PNb170, PNe124, PNe180, PNe215, PNf200
8179;;Silva-Neto JP;João Paulo da Silva-Neto;PNe203
24184;;Silva-Neto RD;REINALDO DIAS DA SILVA NETO;PNa167
1344;;Silva-Neto UX;Ulisses Xavier da Silva Neto;PNd027
19306;;Silva-Oliveira F;Fernando Silva-Oliveira;PNc253
14720;;Silva-Santos DJ;Diego Junior da Silva-Santos;PNd083
26616;;Silva-Sobrinho AS;Argemiro Soares da Silva Sobrinho ;PNe125
1982;;Silva-Sousa YTC;Yara Teresinha Correa Silva-Sousa;PR007, PO009, PIa094, PIb142, PId013, PId077, PIf093, PNc023, PNd046, PNd047, PNe033, PNe052, PNe189, PNf043, PNf053, PNf063
13322;;Silveira AC;Amanda da Costa Silveira;PNc042, PNf032, PNf035
10726;;Silveira ADS;Ana Daniela Silva da Silveira;PIc085, PNf121
24565;;Silveira AP;André Pinto Silveira;PNd039
10377;;Silveira BL;Bruno Lopes da Silveira;PNf099
26363;;Silveira BM;Bernardo Mattos da Silveira;PNd170
23176;;Silveira CA;Camila Augusto Silveira;PNe246
26535;;Silveira CB;Carolina Bizelli Silveira;AO054
6322;;Silveira CFM;cláudia fernandes de magalhães silveira;PNc038
22075;;Silveira CM;CIBELLI MARIANE SILVEIRA;PNc021, PNe028
774;;Silveira EJD;Ericka Janine Dantas da Silveira;PIc107, PIc115, PIe106, PIf106, PNb221, PNb231
25683;;Silveira EM;Esmeralda Maria da Silveira;PNa233
4594;;Silveira FF;Frank Ferreira Silveira;PNd014, PNd039, PNf029, PNf059
6945;;Silveira FM;Flávia Maia Silveira;PO006, PO012, PIa145, PIe131, PIf131, PIf142, PNd266
25225;;Silveira ITM;Ingrid Thays de Melo Silveira;PIe015
2722;;Silveira LFM;Luiz Fernando Machado Silveira;PNb211
24827;;Silveira LS;Leonardo Spohr da Silveira;PNd054
2659;;Silveira MF;Marise Fagundes Silveira;PNd253
6517;;Silveira MMF;Márcia Maria Fonseca da Silveira;PNa089, PNd028
21844;;Silveira OS;Olívia dos Santos Silveira ;PNc194, PNd164
16968;;Silveira RCR;Renan Carlos de Ré Silveira;PNb144
17942;;Silveira RE;Renata Espíndola Silveira;PNa130
4703;;Silveira VAS;Vanessa Ávila Sarmento Silveira;PNf016
8168;;Silveira VRS;virginia régia souza da silveira;PIc022
21134;;Silveira-Coelho V;Valéria Silveira-Coelho;AO120, PNc124
952;;Silveira-Júnior CD;Clebio Domingues da Silveira-Júnior;PNf117
3915;;Simamoto-Júnior PC;Paulo Cézar Simamoto Júnior;HA017, PId068, PNa179, PNa202, PNb161, PNb177, PNd002, PNe165, PNe192, PNf117
2927;;Simão RA;Renata Antoun Simão;PIc014, PIc020, PIf012, PNf020, PNf051
8603;;Simas CMS;CAMILA MARIA DE SOUSA SIMAS;FC009
26557;;Simas MCO;Maria Carolina de Oliveira Simas;AO134
16714;;Simas RM;Rafael Menezes Simas;PNa240
24873;;Simião ACS;Ana Carolina Sanchez Simião;PIe104
1810;;Simões A;Alyne Simões ;PNc204, PNe053
23823;;Simões ACCD;Ana Clara Correa Duarte Simões;PIc074, PNb002, PNd126
19031;;Simões CAD;Cintia Aparecida Damo Simões;PIb143, PNc260
26064;;Simões F;FLAVIO SIMÕES;PNc260
23841;;Simões TC;Tânia Christina Simões;PNf174
24977;;Simões TMS;THAMYRES MARIA SILVA SIMÕES;PIa122, PIc064
2047;;Simplicio H;Hallissa Simplicio ;PIa056, PId052, PIf052
26023;;Sinfiteli PP;Priscila de Pinho Sinfiteli;PId098, PNb061
26320;;Singh V;Vandana Singh;HA016
21442;;Singi P;Paola Singi;FC016
2702;;Sinhoreti MAC;Mário Alexandre Coelho Sinhoreti;HA011, PIa067, PIc046, PIc097, PNa086, PNa113, PNa154, PNa158, PNb135, PNb137, PNc090, PNe099, PNe113, PNe129, PNe132, PNe139, PNe152, PNf107, PNf135, PNf142, PNf150, PNf151, PNf154, PNf162, PNf178
25153;;Sinhori BS;Bruna Salamoni Sinhori;PNa152, PNf169
15876;;Sinisterra RD;Ruben Dario Sinisterra ;AO074, PIe062, PNe078, PNe147, PNf157
23213;;Sipert CR;Carla Renata Sipert;PNf032
26336;;Siqueira CA;Camila Alvarez de Siqueira;PNd129
20684;;Siqueira CMS;Carolina Martins de Souza Siqueira;PNa065
1233;;Siqueira DF;Danilo Furquim Siqueira;PNc083
21222;;Siqueira EA;Erika Alves de Siqueira;PNd113
19276;;Siqueira FSF;Fabiana Suelen Figueredo de Siqueira;PNa095, PNa116, PNf139
17881;;Siqueira GLC;Gabriela Leticia Clavisio Siqueira;PNc255
22745;;Siqueira M;Marina Siqueira ;PNd151
21320;;Siqueira MB;Maria Betânia Siqueira;PNa007, PNa011
19782;;Siqueira MFG;Maria de Fátima Gabínio de Siqueira;PNa019, PNd104
21147;;Siqueira MM;Marina Macedo Siqueira;PIc081
12957;;Siqueira PC;Patrícia Correia de Siqueira;PNa088
26493;;Siqueira RMT;Ronaldo Manoel Tomiura Siqueira;PNb137
5149;;Siqueira WL;Walter Luiz Siqueira ;HA023
4607;;Siqueira-Jr. JF;José Freitas Siqueira Jr.;AO033, PNc028, PNc061, PNe047
24599;;Siquieri JS;Joislee da Silva Siquieri;PIf061
190;;Sivieri-Araújo G;Gustavo Sivieri-Araújo;AO028, PIb019, PNe020
6435;;Skelton-Macedo MC;Mary Caroline Skelton-Macedo;PE003, PE010, PNc119
11837;;Slaviero TVS;Thiago Vinícius Sehn Slaviero;PNa017
25348;;Slomp C;Cilea Slomp;PNa177
21536;;Sloniak MC;Mariane Cristina Sloniak;PNf090
24423;;Smanio JA;Júlia de Almeida Smanio;PNe222, PNf245
8431;;Smolarek PC;Priscila de Camargo Smolarek;PNc195
26477;;Só BB;Bruna Barcelos Só;PId014
8472;;Só MVR;Marcus Vinicius Reis Só;PId014, PNc051
11497;;Soares AB;Anadélia Borges Soares;PNe149
22217;;Soares ACB;Angélica Cristiane Búlio Soares;PE021
18427;H1;Soares AF;Ana Flávia Soares;PNa137, PNb139, PNe116, PNf137
6843;H2;Soares AF;Andréa Ferreira Soares;PNc031
1338;;Soares AJ;Adriana de Jesus Soares;PId012, PId143, PIf016, PNb233, PNc015, PNc035, PNc036, PNd043, PNd246, PNd247
24399;;Soares AL;aline laignier soares;PIf043, PNc141
12772;;Soares AMM;Angela Maria de Medeiros Soares;PNa264, PNf130
11900;;Soares ARL;Andrea Ribeiro Lips Soares;AO110, PNc148
25014;;Soares AS;Artur dos Santos Soares;PNf021
26387;;Soares BM;Bruno Marques Soares;FC010
22815;;Soares CBRB;Caio Belém Rodrigues Barros Soares ;PIa109
24144;;Soares CD;Ciro Dantas Soares;AO021, PIa032, PNb210
64;;Soares CJ;Carlos José Soares;FC014, PIa064, PIb076, PId068, PId089, PNb143, PNb161, PNb165, PNe029, PNe051, PNe135, PNe165, PNe166, PNe231, PNf030, PNf104, PNf117, PNf150, PNf171
22778;;Soares CMD;Carla Maíra Dias Soares;PNe174
14932;;Soares CNGS;Cristina das Neves Girão Salgado Soares;PId070
26833;;Soares DAB;Danielle Alessandra Braz Soares;PNe174
4542;;Soares DGS;Diana Gabriela de Sousa Soares;PR008, PId064, PNf028, PNf109
19193;;Soares DM;Diego Moura Soares;PIf002, PNf124
26675;;Soares ECS;Eduardo Costa Studart Soares;PId005
9670;;Soares FA;Fernando A Soares;PId114, PNc185
14961;;Soares FC;Fernanda Cunha Soares;AO115, PNb025, PNc130
26000;;Soares FL;Fabio Luiz Soares;PNc217
6448;;Soares FZM;Fabio Zovico Maxnuck Soares;PIb040, PNd090, PNe098, PNf081, PNf098
21063;;Soares GG;Genaina Guimarães Soares;PNf092
25686;H2;Soares GM;Gabriela Moreira Soares;PNc202, PNe251
25141;H1;Soares GM;Giulia Marins Soares;PNc089
7778;;Soares GMS;Geisla Mary Silva Soares;PNd210, PNe239
11644;;Soares GR;Gláucia Resende Soares;PNd182
19187;;Soares IBL;Idiane Bianca Lima Soares;PNf139, PNf172
17955;;Soares IMV;Isadora Mello Vilarinho Soares;PNd017, PNd045
2942;;Soares LES;Luís Eduardo Silva Soares;PNc136
19355;;Soares MEC;Maria Eliza da Consolação Soares;PNb017, PNb078
19359;;Soares MQS;Mariana Quirino Silveira Soares;PNc189
11070;;Soares MS;Mário Sérgio Soares;PNe222, PNf245
7936;H2;Soares MSM;Mariana Sales de Melo Soares;PIa128, PIe119
1618;H1;Soares MSM;Maria Sueli Marques Soares;PNa228
1682;;Soares PBF;Priscilla Barbosa Ferreira Soares;PNe231, PNf104
22489;;Soares PHP;Pedro Henrique Pontelo Soares;PNa080
2553;;Soares PV;Paulo Vinicius Soares;FC014, AO085, PIa076, PIb087, PIc087, PId087, PId089, PIf086, PNa099, PNb112, PNb129, PNb156, PNb161
18449;;Soares RG;Renata Gonçalves Soares;PId016, PNc028, PNe047
3495;;Soares RMA;Rosângela Maria de Araújo Soares;PIc074, PNb002, PNc127, PNd126
2303;;Soares RSC;Renata de Souza Coelho Soares;PNd225
1853;;Soares RV;Rodrigo Villamarim Soares;PId055, PNa072, PNc241, PNd092, PNd219, PNf221, PNf224
20567;;Soares S;Simone Soares;PIa143, PNb183, PNd139, PNe214
15819;;Soares TRC;Thais Rodrigues Campos Soares;AO117, PIa130, PId130, PNa061
26053;;Soares VBRB;VINICIUS BELÉM RODRIGUES BARROS SOARES;AO088, PNa193, PNd254, PNf195
26218;;Soares-Júnior FR;Flávio Rodrigues Soares Júnior;PIa111
3014;;Sobral APV;Ana Paula Veras Sobral;PNc134, PNc180
5594;;Sobral MAP;MARIA ANGELA PITA SOBRAL;PNe157
10112;;Sobral MC;Marcio Costa Sobral;PNa062, PNd156
25799;;Sobreira TGP;TAMARA GOMES PACHECO SOBREIRA;PO008
26281;;Sobue BMG;Bianca Mitsue Goulart Sobue;PIf062
26706;;Sodré CS;Camila Stofella Sodré;PNe139
24841;;Sogayar MC;Mari Cleide Sogayar;PNa102
24854;;Solda C;Caroline Solda;PNc025
2785;;Soldani P;Paula Soldani;PO007
19232;;Soldati KR;Kahena Rodrigues Soldati;PNd240
23373;;Solon-de-Mello PA;Priscilla de Almeida Solon-de-Mello;PNb063
25978;;Somacal DC;Deise Caren Somacal;PNf133
20331;;Sonego CL;Camila Leal Sonego;PIa004, PNe013
22695;;Sônego MV;Mariana Vilela Sônego;HA011, PIb097, PIc095, PIf099, PNb194, PNe114
40;;Sonoda CK;Celso Koogi Sonoda;AO013, PNb020, PNc007, PNe017, PNf008
21598;;Sonza QN;Quéli Nunes Sonza;PIb041
26167;;Sordi MB;Mariane Beatriz Sordi;PIc116
13442;;Sorgini DB;Danilo Balero Sorgini;PNe124
133;;Soriano EP;Evelyne Pessoa Soriano;PNa250, PNb246, PNb265
26438;;Soster VJ;vagner jonatan soster;PNd236, PNf242
2839;;Sotto-Maior BS;BRUNO SALLES SOTTO-MAIOR;PIf118, PNe101, PNe256
4779;;Soubhia AMP;ANA MARIA PIRES SOUBHIA;AO134
26945;;Sougey EB;Everton Botelho Sougey;AO153
18142;;Souki BQ;BERNARDO QUIROGA SOUKI;AO123, AO124, PNa033, PNb008, PNb040, PNb048, PNd127, PNd128
24739;;Sousa AA;Adriana Alkmim de Sousa;PNb237, PNc169
15348;;Sousa ABS;Ana Beatriz Silva Sousa;PIf063
26737;;Sousa ACB;Ana Carolina Balatore de Sousa;PIe142
26763;;Sousa AL;ADRIANO LESSA DE SOUSA;PIa146, PIf145
22811;;Sousa AM;Alceu Machado de Sousa;PIc026
23893;;Sousa CA;Cecília Alves de Sousa;PIb116, PIc095
25652;;Sousa CCV;Camila Caracas Vieira de Sousa;PIc096
22660;;Sousa CN;Cleo Nunes de Sousa;PNf169
747;;Sousa DL;Denise Lins de Sousa;HA003, HA005, PId038
26303;;Sousa EES;Evllon Évirg Sá Sousa;PIb074
21043;;Sousa ET;EMERSON TAVARES DE SOUSA;PNa256, PNb214, PNe072
6146;H2;Sousa FB;Fabricio Bitu Sousa;AO131
16757;H1;Sousa FB;Frederico Barbosa De Sousa;AO083, PNb096, PNb107, PNd077, PNd078
23781;;Sousa FFO;Francisco Fabio Olivera de Sousa;PR006
25373;;Sousa FK;Fernanda Karla de Sousa;PIc049
23393;;Sousa HCS;Heloísa Clara Santos Sousa;PId047
12167;;Sousa JNL;Joao Nilton Lopes de Sousa;PIa122
14830;;Sousa JP;Jossaria Pereira de Sousa;PIb080, PNa124
24456;;Sousa KG;KARINA GUEDES DE SOUSA;PIf039, PNc131
4151;;Sousa LG;Luiz Gustavo de Sousa;PNe014
24717;;Sousa LHT;Luzia Herminia Teixeira de Sousa;PNe233
14522;;Sousa LM;lilian machado de sousa;PNa242
26501;;Sousa MFM;Mário Felipe Monteiro de Sousa;PNe061
21059;;Sousa MGC;Mauricio Gonçalves da Costa Sousa;HA002
2510;;Sousa MLR;MARIA DA LUZ ROSARIO DE SOUSA;PNd076, PNf188
18566;;Sousa MM;Meily de Mello Sousa;PNc252
26969;;Sousa NB;Nielsen Barros Sousa;AO068
18225;;Sousa RIM;Rayanne Izabel Maciel de Sousa;PNd187
25753;;Sousa RL;Renato Lopes de Sousa;PIa122
11876;;Sousa RV;Raulison Vieira de Sousa;AO088, PNa060, PNa193, PNd123, PNd254, PNf195
12979;;Sousa SA;Simone Alves de Sousa;PId040
26180;;Sousa SC;Sônia Cristina de Sousa;PIc087, PNb129
15700;;Sousa SJB;Silas Junior Boaventura de Sousa;PNf150
25062;;Sousa SS;Suellen Soares de Sousa;PIe095, PIf095
13947;;Sousa TCS;Talitha de Cássia Silva Sousa;PNf193
19639;;Sousa TO;Thiago Oliveira Sousa;PNd166
14702;;Sousa VC;Vinícius Caixeta de Sousa;PNe048
25860;;Sousa VM;vitória de moraes sousa;PIb146, PIc144, PId145
17045;;Sousa YC;Yasmine de Carvalho Sousa;PNa125, PNa150
26985;;Sousa-Junior JA;José Aginaldo de Sousa Junior;PNf140
118;;Sousa-Neto MD;Manoel Damião  Sousa-Neto;AO029, PIa015, PId018, PNc023, PNd029, PNd047, PNd048, PNe022, PNe031, PNf036
24102;;Souto ICC;Ingrid Carneiro Cavalcante Souto;PIc146
13335;;Souto RM;RENATA MARTINS DO SOUTO;AO044, PId026
26924;;Souto SHA;Silvia Helena Azevêdo Souto;PNf125
18841;;Souza A;Andressa de Souza;PId127
22596;;Souza AA;ALESSANDRA AREAS E SOUZA;PNb267
10227;;Souza ACO;Ana Carolina de Oliveira Souza;PNf194
23478;;Souza AF;Amanda Ferreira de Souza;PIc043, PNc121
26475;;Souza AMMS;Adriana Maria Mariano Silveira e Souza;PNd207
5584;;Souza BDM;Beatriz Dulcineia Mendes de Souza;PNa198, PNd016
18496;;Souza BM;Beatriz Martines de Souza;COL007
537;;Souza C M;Cleber  Machado de Souza;PIb104, PIf124, PNa041, PNd228
25664;;Souza CC;Cynthia Carvalho de Souza;PIf046
7989;;Souza CFM;CONSUELO FERNANDA MACEDO DE SOUZA;PId146
18531;;Souza CMC;Caroline Mathias Carvalho de Souza;PIa073
26707;;Souza CN;CAROLINA NASCIMENTO SOUZA;PId119
24997;;Souza DAC;Diego Adrini Carvalho de Souza;PIa007
8432;;Souza DCC;Daniela Correia Cavalcante Souza;PNc073
25925;;Souza DCF;Danyele Cambraia Franco de Souza;PNf206
5707;;Souza DM;Daniela Martins de Souza;PIb032
22260;H1;Souza DN;Denize Núbia Souza;PIb113
15798;H2;Souza DN;Douglas Nesadal de Souza;PNf075
26481;;Souza DP;Daniela Pereira de Souza;PNa075
22866;;Souza DR;Dhiogo Ribeiro de Souza;PIe085, PNb169, PNb178
